timestamp;video_id;video_title;operation_type;status;output_file_path
2025-06-08 00:56:26;PFstJosswzc;Dinâmica Coração Revelado - Dinâmica da Lição Jovem;Download de Vídeo;SUCCESS;C:\Users\brito\OneDrive - 3hzrmc\Documentos\GitHub\down-dot-you-be\downloads\videos\Dinâmica Coração Revelado - Dinâmica da Lição Jovem [PFstJosswzc].mp4
2025-06-08 00:58:46;xqJurrQKNdE;"Falling In Reverse - ""God Is A Weapon (feat. Marilyn Manson)""";Download de Vídeo;SUCCESS;C:\Users\brito\OneDrive - 3hzrmc\Documentos\GitHub\down-dot-you-be\downloads\videos\Falling In Reverse - ＂God Is A Weapon (feat. Marilyn Manson)＂ [xqJurrQKNdE].mp4
2025-06-08 00:58:58;xqJurrQKNdE;"Falling In Reverse - ""God Is A Weapon (feat. Marilyn Manson)""";Download de Áudio;SUCCESS;C:\Users\brito\OneDrive - 3hzrmc\Documentos\GitHub\down-dot-you-be\downloads\audios\Falling In Reverse - ＂God Is A Weapon (feat. Marilyn Manson)＂ [xqJurrQKNdE].mp3
2025-06-08 02:57:33;Z116LsMiyKc;"Falling In Reverse - ""Losing My Life"" LIVE! @ Warped Tour 2018";Download de Vídeo;SUCCESS;
2025-06-08 02:57:42;HSpaZjR_ULE;BAD OMENS - Limits (Official Music Video);Download de Vídeo;SUCCESS;
2025-06-08 02:57:48;HSpaZjR_ULE;BAD OMENS - Limits (Official Music Video);Download de Áudio;SUCCESS;
2025-06-08 03:05:59;PLyVfWvQVec_UiMTmGYDmmPw5dYUSM4Lo8;A Grande Dança;Download de Playlist de Vídeo;SUCCESS;
2025-06-08 03:06:14;PLyVfWvQVec_WUe8U0MmxJtm3q2b1Gck6X;P.I.N.K-F.L.O.Y.D;Download de Playlist de Áudio;SUCCESS;
2025-06-08 03:09:58;PLyVfWvQVec_WeCjfRKckur7pllET25MpR;#meditacao;Download de Playlist de Áudio;SUCCESS;
2025-06-08 03:32:00;Wv3Th7eGjO8;Você me bagunça e tumultua tudo em mim...;Download de Vídeo;SUCCESS;
2025-06-08 03:38:39;PLyVfWvQVec_US0PatdCmlkVoyOXvmRC8N;#africanas;Download de Playlist de Áudio;SUCCESS;
2025-06-08 03:40:03;ENJdeTmSJ5E;China Central Bank's Gold-Buying Extends | World Business Watch  | WION;Download de Vídeo;SUCCESS;
